name,nominated,won,xpos,ypos,,
Lee Strasberg ,1,0,873.01666,657.6702,,"{'name' : 'Lee Strasberg ', 'value':1},"
Michael V. Gazzo ,1,0,480.82556,677.4769,,"{'name' : 'Michael V. Gazzo ', 'value':1},"
Robert De Niro ,7,2,310.09985,650.35004,,"{'name' : 'Robert De Niro ', 'value':7},"
Brad Dourif ,1,0,503.67337,492.83502,,"{'name' : 'Brad Dourif ', 'value':1},"
Burgess Meredith ,2,0,583.216,355.64816,,"{'name' : 'Burgess Meredith ', 'value':2},"
Chris Sarandon ,1,0,134.94296,260.8805,,"{'name' : 'Chris Sarandon ', 'value':1},"
George Burns ,1,1,362.42868,245.47769,,"{'name' : 'George Burns ', 'value':1},"
Jack Warden ,2,0,178.97614,431.21097,,"{'name' : 'Jack Warden ', 'value':2},"
Burt Young ,1,0,459.58926,65.63196,,"{'name' : 'Burt Young ', 'value':1},"
Giancarlo Giannini ,1,0,834.7011,206.85359,,"{'name' : 'Giancarlo Giannini ', 'value':1},"
Jason Robards ,3,2,581.0748,222.70346,,"{'name' : 'Jason Robards ', 'value':3},"
Ned Beatty ,1,0,48.542328,237.0597,,"{'name' : 'Ned Beatty ', 'value':1},"
Sylvester Stallone ,1,0,1047.7522,136.06439,,"{'name' : 'Sylvester Stallone ', 'value':1},"
John Travolta ,2,0,919.3366,19.900045,,"{'name' : 'John Travolta ', 'value':2},"
Mikhail Baryshnikov ,1,0,154.79428,262.2715,,"{'name' : 'Mikhail Baryshnikov ', 'value':1},"
Peter Firth ,1,0,836.9447,452.78113,,"{'name' : 'Peter Firth ', 'value':1},"
Richard Dreyfuss ,2,1,254.55933,19.89998,,"{'name' : 'Richard Dreyfuss ', 'value':2},"
Woody Allen ,1,0,23.942928,9.95,,"{'name' : 'Woody Allen ', 'value':1},"
Bruce Dern ,2,0,441.18698,20.163116,,"{'name' : 'Bruce Dern ', 'value':2},"
Christopher Walken ,2,1,168.23074,235.61662,,"{'name' : 'Christopher Walken ', 'value':2},"
Gary Busey ,1,0,1270.05,146.14906,,"{'name' : 'Gary Busey ', 'value':1},"
John Hurt ,2,0,1155.3145,605.4954,,"{'name' : 'John Hurt ', 'value':2},"
Richard Farnsworth ,2,0,214.76125,654.90106,,"{'name' : 'Richard Farnsworth ', 'value':2},"
Frederic Forrest ,1,0,656.7222,9.9554405,,"{'name' : 'Frederic Forrest ', 'value':1},"
Justin Henry ,1,0,188.26508,696.8402,,"{'name' : 'Justin Henry ', 'value':1},"
Joe Pesci ,2,1,1260.1,353.8075,,"{'name' : 'Joe Pesci ', 'value':2},"
Judd Hirsch ,1,0,298.6993,374.61234,,"{'name' : 'Judd Hirsch ', 'value':1},"
Michael O'Keefe ,1,0,274.42368,579.19257,,"{'name' : 'Michael O'Keefe ', 'value':1},"
Timothy Hutton ,1,1,228.12032,174.20753,,"{'name' : 'Timothy Hutton ', 'value':1},"
