name;nominated;won;xpos;ypos
Joaquin Phoenix ;3;0;392.8067;589.21063
Ethan Hawke ;2;0;520.5842;374.4862
Jim Broadbent ;1;1;615.3492;603.31464
Tom Wilkinson ;2;0;230.87515;224.80708
Will Smith ;2;0;507.8812;410.88083
Adrien Brody ;1;1;285.74033;567.90326
Chris Cooper ;1;1;411.04242;251.5043
John C. Reilly ;1;0;325.5521;346.95258
Alec Baldwin ;1;0;648.4786;449.33667
Bill Murray ;1;0;408.129;393.43552
Djimon Hounsou ;2;0;115.70201;533.42535
Johnny Depp ;3;0;299.2074;681.03296
Ken Watanabe ;1;0;254.60791;317.84146
Tim Robbins ;1;1;547.0434;397.08954
Alan Alda ;1;0;367.32816;585.3937
Clive Owen ;1;0;431.79907;614.6267
Don Cheadle ;1;0;215.58954;263.0765
Jamie Foxx ;2;1;327.66815;695.9185
Thomas Haden Church ;1;0;709.25977;353.3581
David Strathairn ;1;0;153.33632;160.18022
George Clooney ;4;1;257.15594;393.13922
Heath Ledger ;2;1;356.35397;532.9742
Jake Gyllenhaal ;1;0;343.86362;678.0103
Matt Dillon ;1;0;428.58655;673.37354
Paul Giamatti ;1;0;91.91838;451.11273
Philip Seymour Hoffman ;4;1;106.14935;482.8531
Terrence Howard ;1;0;388.20807;110.33397
Eddie Murphy ;1;0;577.893;401.9247
Forest Whitaker ;1;1;350.7251;333.13684
Jackie Earle Haley ;1;0;109.52417;299.57343
Mark Wahlberg ;1;0;287.77127;542.25134
Ryan Gosling ;1;0;267.93237;307.63843
Casey Affleck ;1;0;400.11975;491.494
Hal Holbrook ;1;0;451.5214;112.50624
Viggo Mortensen ;1;0;320.1485;556.3887
Frank Langella ;1;0;660.42694;276.92487
Josh Brolin ;1;0;215.05118;460.17502
Michael Shannon ;1;0;687.2823;441.85153
Mickey Rourke ;1;0;428.51862;602.23865
Richard Jenkins ;1;0;645.34656;312.82446
Christoph Waltz ;2;2;595.7568;536.64484
Christopher Plummer ;2;1;81.389175;295.09274
Colin Firth ;2;1;180.50204;193.15216
Jeremy Renner ;2;0;715.81573;313.25012
Stanley Tucci ;1;0;636.80304;303.26654
Christian Bale ;2;1;357.04364;601.6387
James Franco ;1;0;684.7288;182.94368
Jesse Eisenberg ;1;0;586.0764;592.18713
John Hawkes ;1;0;367.83725;681.93243
Mark Ruffalo ;2;0;731.6182;470.07605
Demi�n Bichir ;1;0;110.55577;204.13422
Gary Oldman ;1;0;139.70671;162.00993
Jean Dujardin ;1;1;375.2383;607.9348
Jonah Hill ;2;0;370.3391;566.3865
Bradley Cooper ;3;0;596.5728;568.81055
Hugh Jackman ;1;0;698.7521;184.51462
Barkhad Abdi ;1;0;279.82495;589.25684
Chiwetel Ejiofor ;1;0;84.43215;263.3981
Jared Leto ;1;1;221.3635;526.2602
Matthew McConaughey ;1;1;209.94617;366.20505
Michael Fassbender ;1;0;193.20346;408.0107
Benedict Cumberbatch;1;0;676.89795;384.0232
Eddie Redmayne;1;1;190.84276;172.32458
Michael Keaton;1;0;619.85315;558.1031
Steve Carell;1;0;442.7805;232.42079
J.K. Simmons;1;1;113.9276;286.23392
